author,community
C. Ahlberg,1
E. Wistrand,1
D. Auber,23
Y. Chiricota,23
F. Jourdan,23
G. Melancon,23
H.-W. Shen,41
L.-J. Chiang,41
K.-L. Ma,41
Matej Novotny,42
Helwig Hauser,42
Sebastian Gehrmann,11
Alexander M. Rush,11
O. Sorkine,5
R. Goldenthal,5
D. Lischinski,5
Waqas Javed,24
Bryan McDonnel,24
Nicholas Diakopoulos,6
Mor Naaman,6
Funda Kivran-Swaine,6
D. Gotz,3
J. Hensley,3
Dominik Sacha,22
Andreas Stoffel,22
Florian Stoffel,22
Bum Chul Kwon,6
Daniel A. Keim,22
Tobias Isenberg,42
Petra Isenberg,12
Jian Chen,26
Torsten Möller,42
Megan Monroe,6
Rongjian Lan,6
Hanseung Lee,6
Catherine Plaisant,6
Jaegul Choo,6
Changhyun Lee,6
Chandan K. Reddy,6
Haesun Park,6
Salvatore Rinzivillo,22
Mirco Nanni,22
Dino Pedreschi,22
Fosca Giannotti,22
Enrico Bertini,22
Andrada Tatu,22
Daniel Keim,22
R.J. Hendley,43
N.S. Drew,43
A.M. Wood,43
R. Beale,43
U.D. Bordoloi,35
S. Bryson,5
C. Levit,2
O. Deussen,4
C. Colditz,4
M. Stamminger,4
G. Drettakis,4
L.D. Bergman,44
B.E. Rogowitz,44
L.A. Treinish,20
Jo Wood,45
Jason Dykes,45
Aidan Slingsby,45
Keith Clarke,45
S. Bruckner,36
M.E. Groller,36
Han-Wei Shen,35
C.D. Hansen,3
C.R. Johnson,3
H. Carr,2
J. Snoeyink,2
M. van de Panne,2
Marian Dörk,12
Daniel Gruen,12
Carey Williamson,12
R. Shekhar,5
E. Fayyad,5
R. Yagel,5
J.F. Cornhill,5
H. Childs,5
E. Brugger,5
K. Bonnell,5
J. Meredith,5
M. Miller,5
B. Whitlock,5
N. Max,5
R.M. Kirby,46
H. Marmanis,46
D.H. Laidlaw,46
I. Viola,36
A. Kanitsar,36
Nathalie Henry Riche,12
Amy K. Karlson,15
Sheelash Carpendale,15
U. Brandes,47
S.R. Corman,47
Jibonananda Sanyal,46
Song Zhang,46
Jamie Dyer,46
Andrew Mercer,46
Philip Amburn,46
Robert Moorhead,46
Samuel Gratzl,11
Marc Streit,11
M. Hadwiger,3
C. Berger,3
M. Weiler,32
M. Kraus,32
M. Merz,32
T. Ertl,4
G. Humphreys,9
R. Klein,3
G. Liebich,3
D. Fleischmann,36
R. Wegenkittl,36
P. Felkel,36
E. Groller,36
S. Rottger,36
M. Isenburg,2
M. Cox,5
D. Ellsworth,5
Robert E. Roth,20
James O'Brien,20
Bonan Li,20
Derek Swingley,20
Mark Gahegan,20
Han Chen,48
R. Sukthankar,48
G. Wallace,48
Kai Li,48
Daniel Smilkov,9
James Wexler,9
Jimbo Wilson,9
Dandelion Mané,9
Doug Fritz,9
Dilip Krishnan,9
F. van Ham,25
J.J. van Wijk,25
M.J. McGuffin,49
L. Tancau,49
R. Balakrishnan,49
Carlos Correa,41
Kwan-Liu Ma,41
Michael Burch,15
Daniel Weiskopf,15
A.R. Martin,18
P. Whitney,13
J. Thomas,13
A. Buja,50
J.A. McDonald,50
J. Michalak,50
W. Stuetzle,50
V. Verma,2
D. Kao,2
A. Pang,2
Ivan Viola,42
Miquel Feixas,42
Mateu Sbert,42
Meister Eduard Groller,42
Lars Grammel,16
Melanie Tory,16
Margaret-Anne Storey,16
Chaomei Chen,20
S. Morris,20
W.C. de Leeuw,25
Wei Li,5
K. Mueller,5
Lauro Lins,60
James T. Klosowski,60
Carlos Scheidegger,60
Attila Gyulassy,38
Peer-Timo Bremer,38
Bernd Hamann,38
Valerio Pascucci,38
Krist Wongsuphasawat,7
Minsuk Kahng,7
Pierre Y. Andrews,9
Aditya Kalro,9
Duen Horng (Polo) Chau,9
M.H. Gross,51
R. Gatti,51
O. Staadt,51
P. Cignoni,39
F. Ganovelli,39
E. Gobbetti,39
F. Marton,39
F. Ponchio,39
V. Interrante,46
C. Grosch,46
Milos Krstajic,22
Jing Yang,18
A. Globus,2
T. Lasinski,2
Z.J. Wood,63
M. Desbrun,63
P. Schroder,63
D. Breen,63
H. Theisel,40
T. Weinkauf,40
H.-P. Seidel,40
Jens Kruger,11
Jens Schneider,11
Rudiger Westermann,11
Yingcai Wu,26
Furu Wei,26
Norman Au,26
A. Hubeli,5
M. Balzer,4
T.A. Keahey,53
E.L. Robertson,53
Yehuda Koren,11
L. Carmel,11
D. Harel,11
Sung-Eui Yoon,5
B. Salomon,5
R. Gayle,5
D. Manocha,5
E.T. Ahrens,46
D. Kremers,46
M.J. Avalos,46
R.E. Jacobs,46
C. Readhead,46
Chaoli Wang,35
Hongfeng Yu,41
U. Tiede,54
T. Schiemann,54
K.H. Hohne,54
Fan-Yin Tzeng,41
E.B. Lum,41
Nancy Nersessian,7
Leishi Zhang,22
Michael Behrisch,22
Sebastian Mittelstadt,22
Tobias Schreck,22
René Pompl,22
Stefan Weber,22
Holger Last,22
A. Telea,25
S. Takahashi,10
I. Fujishiro,10
Y. Takeshima,10
T. Nishita,10
A.O. Artero,55
M.C.F. de Oliveira,55
H. Levkowitz,55
Christoph Garth,38
Florian Gerhardt,56
Xavier Tricoche,56
Hagen Hans,56
R. Peikert,5
M. Roth,5
E. Shaffer,14
N. Wong,57
S. Carpendale,57
S. Greenberg,57
D. Laney,5
P.-t. Bremer,5
A. Mascarenhas,5
P. Miller,5
B. Moberts,25
A. Vilanova,36
R. Kosara,3
S. Miksch,3
E. Gansner,13
Y. Koren,13
S. North,13
L. Wilkinson,58
A. Anand,58
R. Grossman,58
Ying Tu,35
D. Tang,9
Corinna Vehlow,15
Fabian Beck,15
Stephan Diehl,15
Enxun Wei,26
Yang Liu,26
Z. Shi,5
Peihong Guo,35
He Xiao,35
J. Carriere,59
R. Kazman,59
Y.-J. Chiang,19
J. Schneider,3
E. Kleiberg,25
H. van de Wetering,25
J. Johansson,60
P. Ljung,60
M. Jern,60
M. Cooper,60
Filip Sadlo,60
Ronald Peikert,42
Nam Wook Kim,7
Constance May Bainbridge,11
Chelsea S. Yeh,11
Daniel Borkin,11
S.G. Eick,53
G.J. Wills,53
S. Wang,5
O.G. Staadt,51
R. van Liere,25
A. Gregory,5
S. Ehmann,5
Ming Lin,5
L. Wang,5
Y. Zhao,5
Basak Alper,12
Nathalie Riche,12
Gonzalo Ramos,12
Mary Czerwinski,15
Hans-Jörg Schulz,11
Thomas Nocke,11
Magnus Heitzler,11
D.F. Wiley,3
N. Amenta,3
D.A. Alcantara,3
D. Ghosh,3
Y.J. Kil,3
E. Delson,3
W. Harcourt-Smith,3
F.J. Rohlf,3
K. St John,3
Ryan Eccles,24
Thomas Kapler,24
Robert Harper,24
William Wright,24
Ozan Ersoy,15
Christophe Hurter,15
Fernando Paulovich,15
Gabriel Cantareiro,15
Alex Telea,15
Susan Dumais,12
Charles D. Stolper,7
S.W. Wang,5
A.E. Kaufman,5
Yong Zhou,5
Baoquan Chen,15
S. Pizer,46
A.J. Hanson,23
E.A. Wernert,23
Jurgen Bernard,22
Tatiana Tekusova,22
Jorn Kohlhammer,22
P. Rander,61
P.J. Narayanan,61
T. Kanade,61
John A. Lee,22
Jaakko Peltonen,22
Stephen C. North,22
Benjamin Tissoires,15
Stéphane Conversy,15
L. De Floriani,62
P. Magillo,62
E. Puppo,62
Nan Cao,26
Jimeng Sun,6
Yu-Ru Lin,26
Yuzuru Tanahashi,41
Xiaohua Sun,26
David Lazer,26
F.J. Post,63
T. van Walsum,63
F.H. Post,63
D. Silver,63
A. Sheffer,64
J.C. Hart,64
Jerry Alan Fails,6
Amy Karlson,6
Layla Shahamat,6
S. Premoze,3
Kai Yan,26
Fangzhao Wu,26
G. Abram,2
L. Treinish,2
Stefan Bruckner,42
M. Eduard Groller,42
Hansi Senaratne,22
C. Rocchini,39
P. Riehmann,65
M. Hanfler,65
B. Froehlich,65
Tatiana von Landesberger,22
Felix Brodkorb,22
Philipp Roskosch,22
Andreas Kerren,22
E.H.-H. Chi,66
P. Barry,66
J. Riedl,66
J. Konstan,66
Jinwook Seo,15
Wenwen Dou,24
Xiaoyu Wang,24
Drew Skau,24
William Ribarsky,24
Tim Dwyer,11
S.K. Lodha,2
R.E. Sheehan,2
C.M. Wittenbrink,2
Lijie Xu,35
Teng-Yok Lee,35
Jeremy Boy,12
Ronald A. Rensink,12
Ryan Russell,9
Jane Hoffswell,24
M. Zwicker,5
J. van Baar,5
Taowei David Wang,6
Neil Spring,6
David Roseman,6
Greg Marchand,6
Vikramjit Mukherjee,6
Mark Smith,6
Maarten H. Everts,42
Henk Bekker,42
Jos B.T.M. Roerdink,42
Eric D. Ragan,46
Alex Endert,7
Aidong Lu,24
C.J. Morris,5
D.S. Ebert,2
C. Sigg,5
Christoph Heinzl,42
Harald Piringer,42
Michelle Borkin,11
Krzysztof Gajos,11
Amanda Peters,11
Dimitrios Mitsouras,11
Simone Melchionna,11
Frank Rybicki,11
Charles Feldman,11
Michael Correll,15
Michael Gleicher,24
F.-Y. Tzeng,41
F. Bendix,3
A. Majumder,3
Zhu He,3
Uta Hinrichs,12
Holly Schmidt,12
L. Zhukov,63
A.H. Barr,63
David Selassie,9
Brandon Heller,9
Florian Heimerl,15
Edwin Püttmann,15
Steffen Koch,15
Robert Krüger,15
Michael Wörner,15
X. Tricoche,3
G. Scheuermann,3
H. Hagen,3
A.M. MacEachren,67
F.P. Boscoe,67
D. Haug,67
L.W. Pickle,67
Paulo E. Rauber,68
Samuel G. Fadel,68
Alexandre X. Falcão,68
Alexandru C. Telea,68
Ross T. Whitaker,11
Mahsa Mirzargar,38
Robert M. Kirby,38
D.L. Kao,35
T. Gerstner,25
R. Pajarola,25
R.S. Laramee,3
B. Jobard,4
S. Gumhold,2
O. Devillers,2
P.-M. Gandoin,2
Minh Xuan Nguyen,15
S. premoze,3
M. Ikits,3
A. Lefohn,3
E. Praun,3
Lujin Wang,18
Joachim Giesen,18
Kevin T. McDonnell,18
Peter Zolliker,18
Klaus Mueller,18
Natalia Konevtsova,15
Julian Heinrich,15
Markus Hoeferlin,15
Paulo Joia,60
Danilo Coimbra,68
Jose A. Cuminato,68
Fernando V. Paulovich,68
Luis G. Nonato,68
Luana Micallef,12
L. De Fioriani,62
G. Barequet,69
S. Kumar,69
Claes Lundström,60
Patric Ljung,60
Anders Persson,60
Anders Ynnerman,60
H.K. Hahn,70
B. Preim,70
D. Selle,70
H.-O. Peitgen,70
Charles Perin,12
Chao Han,7
Dipayan Maiti,7
Leanna House,7
Scotland Leman,7
Chris North,7
M. Hopf,4
A. Mebarki,2
P. Alliez,2
M. Williams,23
T. Munzner,23
Greg Smith,15
Brian Meyers,15
Daniel Robbins,15
Desney S. Tan,15
Gargi Bhattacharya,46
Phil Amburn,46
S.F. Roth,53
P. Lucas,53
J.A. Senn,53
C.C. Gomberg,53
M.B. Burks,53
P.J. Stroffolino,53
A.J. Kolojechick,53
C. Dunmire,53
T. Skog,72
S. Ljungblad,72
L.E. Holmquist,72
Shiaofen Fang,73
T. Biddlecome,73
M. Tuceryan,73
M.C. Velez,63
M. Tremaine,63
Huy Vo,60
David Koop,60
Claudio Silva,60
Rubaiat Habib Kazi,15
Josua Krause,22
C. Rezk-Salama,4
P. Hastreiter,4
C. Teitzel,4
T.J. Jankun-Kelly,46
Steven Drucker,15
Eytan Adar,9
Jian Zhao,12
Zhen Wen,12
Yale Song,12
J. Cohen,5
M. Olano,5
D. Costanza,39
Christof Rezk Salama,42
Maik Keller,42
Peter Kohlmann,42
N. Litke,63
A. Levin,63
Li Yu,24
Zhiqiang Ma,24
Roeland Scheepens,22
Niels Willems,22
Jarke J. van Wijk,22
Daniela Oelke,22
J. Dollner,74
K. Baumann,74
K. Hinrichs,74
A. Gyulassy,38
Vijay Natarajan,38
P. Saraiya,75
C. North,75
K. Duca,75
Thomas Schultz,42
Hans-Peter Seidel,38
Gustavo M. Machado,76
Manuel M. Oliveira,76
Leandro A. F. Fernandes,76
Min Chen,45
Heike Jaenicke,56
Jaeyeon Kihm,6
J. Wood,77
K. Brodlie,77
H. Wright,77
W.A.A. Nuij,25
Roel Vliegen,22
Erik-Jan van der Linden,22
B. Heckel,3
G. Weber,3
A.E. Lefohn,63
J.M. Kniss,3
R.T. Whitaker,63
Shengdong Zhao,49
M.H. Chignell,49
Matthew Tobiasz,12
Ming Wan,5
F. Dachille,5
M.-A.D. Storey,23
K. Wong,23
F.D. Fracchia,23
H.A. Muller,23
Gordon Kindlmann,60
Carl-fredrik Westin,60
Jarry H.T. Claessen,22
Patrick Fiaux,7
Remco Chang,24
Mohammad Ghoniem,24
Robert Kosara,24
Evan Suma,24
Caroline Ziemkiewicz,24
Daniel Kern,24
Agus Sudjianto,24
A. Poon,77
L. Brankin,77
G. Banecki,77
A. Gay,77
D. Archambault,23
Yaniv Frishman,78
Ayellet Tal,78
Harry Stavropoulos,22
Stefan Wrobel,22
C.R. Volpe,19
T. Azuma,10
Panpan Xu,26
Tai-Quan Peng,26
Jonathan J.H. Zhu,26
Eli T. Brown,24
Jingjing Liu,24
Carla E. Brodley,24
D. Turo,1
R. Grosso,4
C. Lurig,4
A. Sherbondy,9
M. Houston,5
S. Napel,5
Sara Johansson,22
Jimmy Johansson,22
R. Avila,5
C. Silva,5
L. Sobierajski,5
Carlos D. Correa,41
Yu-Hsuan Chan,41
Ming Hao,22
Christian Rohrdantz,22
Umeshwar Dayal,22
Lars-Erik Haug,22
Halldor Janetzko,22
C. Jaynes,46
S. Webb,46
R.M. Steele,46
M. Brown,46
W.B. Seales,46
Johanna Beyer,11
Markus Hadwiger,11
Stefan Wolfsberger,11
Katja Bühler,42
K. Brodie,77
Y. Frishman,78
Maxime Cordeil,11
Karsten Klein,11
Bireswar Laha,11
Kim Marriott,11
Bruce H. Thomas,11
Benjamin Bach,12
Ronell Sicat,11
E. Keeve,79
S. Girod,79
P. Pfeifle,79
B. Girod,79
N.E. Miller,13
P.C. Wong,13
M. Brewster,13
H. Foote,13
Xiaoming Wei,5
K. Stockinger,80
J. Shalf,80
K. Wu,80
E.W. Bethel,80
J. Abello,25
Natascha Sauber,22
Holger Theisel,22
Hans-peter Seidel,22
Kyle Koh,15
Bohyoung Kim,15
R. Crawlis,20
A. Cedilnik,20
A.V. Vilanova Bartroli,36
A. Konig,36
Giovane R. Kuhn,76
J. Clyne,41
Nicolas Heulot,12
Tara Madhyastha,12
Tom Grabowski,12
K.R. Subramanian,81
D.S. Fussell,81
T. Theussl,36
J. Woodring,35
Anish Chandak,82
Christian Lauterbach,82
Micah Taylor,82
Zhimin Ren,82
Dinesh Manocha,82
R. Machiraju,63
Sven Bachthaler,15
Eduard Gröller,42
Priti Shah,9
Philippas Tsigas,7
Zhuofeng Wu,26
Hao Wei,26
M. Sheelagh T. Carpendale,23
D.J. Cowperthwaite,23
Insoo Woo,24
Wei Chen,26
David Ebert,24
Aritra Dasgupta,22
Thomas Mühlbacher,42
B. Lucas,44
G.D. Abram,44
N.S. Collins,44
D.A. Epstein,44
D.L. Gresh,44
K.P. McAuliffe,44
P. Hinker,3
S. Linthicum,19
R.L. Winslow,44
D.F. Scollan,44
C.K. Yung,44
Deborah Silver,45
R. Crawfis,5
Torsten Moller,42
G. Zhuang,3
Thomas Torsney-Weir,42
Ahmed Saad,42
Hans-Christian Hege,42
Britta Weber,42
Jean-Marc Verbavatz,42
Steven Bergner,42
A. Fuhrmann,36
J.D. Cohen,2
D.G. Aliaga,2
Weiqiang Zhang,2
M. Antonijuan,25
R. Lario,25
Ken Been,83
Eli Daiches,83
Chee Yap,83
Donghao Ren,15
Saleema Amershi,15
Jina Suh,15
Jason D. Williams,15
Mustafa Bilgic,6
Louis Licamele,6
Lise Getoor,6
Georgia Albuquerque,22
Martin Eisemann,22
Jorn Schneidewind,22
Marcus Magnork,22
S. Hadap,84
E. Bongarter,84
P. Volino,84
N. Magnenat-Thalmann,84
Aaron Barsky,16
Jennifer Gardy,16
Robert Kincaid,16
Samuel Gerber,38
Ross Whitaker,38
Davide Ceneda,11
Theresia Gschwandtner,11
Thorsten May,22
Silvia Miksch,11
M. Jin,5
Y. Wang,5
S.-T. Yau,5
X. Gu,5
Thorsten Buering,22
Jens Gerken,22
Harald Reiterer,22
Sean M. Arietta,9
Alexei A. Efros,9
Ravi Ramamoorthi,9
Bongwon Suh,9
Ed H. Chi,9
Bryan A. Pendleton,9
Aniket Kittur,9
Stephen Ingram,16
Veronika Irvine,16
He Liu,26
Yuan Gao,26
Lu Lu,26
Siyuan Liu,26
Lionel M. Ni,26
Wing-Yi Chan,35
Anbang Xu,35
Kai-Lun Chung,35
Kai-Hon Lau,35
Ping Guo,35
Mark Duchaineau,38
Eduardo Bringa,38
Andrew Higginbotham,38
Johnny Rodgers,15
Lyn Bartram,15
B. Becker,5
R. Van Uitert,3
A. Stephens,3
G.-S. Li,3
Gunther Weber,38
Michael Zinsmaier,15
Ulrik Brandes,15
Oliver Deussen,15
Meredith Ringel Morris,15
Kori Inkpen,15
A. Gueziec,5
G. Taubin,5
F. Lazarus,5
W. Horn,5
T.C. Sprenger,51
R. Brunella,51
E. Hoffman,23
K. Claffy,23
B. Fenner,23
R. Heilmann,32
C. Panse,32
M. Sips,32
Yuntao Jia,14
Jared Hoberock,14
Michael Garland,14
John Hart,14
D. Koop,5
Tangzhi Ye,35
Jacky Yuan,35
Qianliang Wu,35
K. Cole-McLaughlin,3
E. Fanea,57
T. Isenberg,57
Heike Janicke,45
Alexander Wiebel,56
Gerik Scheuermann,56
Wolfgang Kollmann,38
Kori Inkpen Quinn,15
Nadia Boukhelifa,45
Anastasia Bezerianos,12
Wei Zeng,26
Chi-Wing Fu,15
Stefan Müller Arisona,26
Alexander Erath,26
Fabian Maaß,22
Ines Färber,22
Thomas Seidl,22
Yao Ming,26
Shaozu Cao,26
Ruixiang Zhang,26
Yuanzhe Chen,26
X. Wang,63
Jonathan Woodring,38
Han-wei Shen,35
Youngmin Kim,85
Amitabh Varshney,85
Michael Ogawa,41
Dongyu Liu,26
Di Weng,26
Yuhong Li,26
Jie Bao,26
Yu Zheng,26
Y. Levanoni,5
Nicholas Kong,9
Cagatay Turkay,45
Peter Filzmoser,11
A.A. Lastra,2
B. Gregorski,3
A. Roman,86
G. Garg,86
M. Levoy,86
Christian Partl,11
Karl Kashofer,11
Dieter Schmalstieg,11
M. Teichmann,87
M. Capps,87
B. Frohlich,88
S. Barrass,88
B. Zehner,88
J. Plate,88
M. Gobel,88
G.S. Davidson,89
B.N. Wylie,89
K.W. Boyack,89
A. MacEachren,90
D. Xiping,90
F. Hardisty,90
Diansheng Guo,90
G. Lengerich,90
Qingguang Cui,18
Matthew Ward,18
Elke Rundensteiner,18
Danny Dorling,91
Anna Barford,91
Mark Newman,91
Stephane Marchesin,41
Cheng-Kai Chen,41
Chris Ho,41
Eli T Brown,24
Alvitta Ottley,24
Helen Zhao,24
Quan Lin,24
Richard Souvenir,24
Siming Chen,35
Zhenhuang Wang,35
Cong Guo,35
Jie Liang,35
Xiaolong Luke Zhang,35
Jiawan Zhang,35
Hyunmo Kang,6
Benjamin B. Bederson,24
Jurgen Waser,42
Raphael Fuchs,42
Hrvoje Ribicic,42
Benjamin Schindler,42
Gunther Bloschl,42
Eduard Groller,42
Hannah Pileggi,7
J. Michael Boyle,7
John T. Stasko,7
P. Sutton,3
Chandrajit Bajaj,92
P. Djeu,92
Vinay Siddavanahalli,92
A. Thane,92
E. Hetzler,13
K. Perrine,13
E. Jurrus,13
N. Miller,13
C. Olston,93
J.D. Mackinlay,93
G.E. Rosario,18
D.C. Brown,18
Wolfram von Funck,38
Tino Weinkauf,38
Chenglong Wang,9
Greg L. Nelson,9
Halden Lin,9
Adam M. Smith,9
T. Delmarcelle,94
L. Hesselink,94
D.H. House,95
C.J. Kocmoud,95
P. Bhaniramka,35
R. Wenger,35
D. Weiskopf,4
K. Engel,4
Haleh Hagh-Shenas,46
Sunghee Kim,46
Victoria Interrante,46
Christopher Healey,46
Markus Steinberger,11
Manuela Waldner,42
Hanqi Guo,35
Ningyu Mao,35
Guodao Sun,26
Jonathan J. H. Zhu,26
Ronghua Liang,26
Xiaoke Huang,18
Ye Zhao,18
Chao Ma,18
Xinyue Ye,18
Chong Zhang,18
J. Klingner,9
John Schreiner,60
Roland Fraedrich,11
Stefan Auer,11
Kevin Buchin,45
Bettina Speckmann,45
Kevin Verbeek,45
Stef van den Elzen,56
I Wald,96
GP Johnson,96
J Amstutz,96
C Brownlee,96
A Knoll,96
J Jeffers,96
J Günther,96
P Navratil,96
Fidelia Ibekwe-SanJuan,20
Eric SanJuan,20
Chris Weaver,20
Jurgen Lerner,15
Yuqun Chen,48
D.W. Clark,48
A. Finkelstein,48
T.C. Housel,48
Michael Krone,15
Katrin Bidmon,15
K.A. Kreeger,5
S.M.F. Treavett,3
M. Chen,3
M. Bertram,3
M.A. Duchaineau,3
N. Hoobler,9
M. Agrawala,9
Bobo Nick,15
Danny Holten,56
Jorik Blaas,56
Tarik Crnovrsanin,41
Chris Muelder,41
I.J. Trotts,3
T. Funkhouser,2
D. Yanovsky,2
I. Carlbom,2
A. Joshi,20
M. Kreuseler,97
N. Lopez,97
H. Schumann,97
I. Brewer,67
H. Abdo,67
J. Gundrum,67
G. Otto,67
Yuan Chen,26
Jonathan Cohen,26
Julian Krolik,26
Çağatay Demiralp,98
Michael S. Bernstein,98
Soon Tee Teoh,41
S.F. Wu,41
Xiaoliang Zhao,41
M. Tavanti,99
M. Lind,99
Lingyun Yu,15
Pjotr Svetachov,42
A. Shamir,3
C. Bajaj,3
A. Leuski,100
J. Allan,100
Guangfeng Ji,35
Julien Tierny,38
Eddie Simon,38
Yvonne Jansen,12
G. Erlebacher,4
M. Yousuff Hussaini,4
C. Garth,3
