author,num
Ronald Peikert,578
Nam Wook Kim,579
Constance May Bainbridge,580
Chelsea S. Yeh,581
Daniel Borkin,582
S.G. Eick,583
G.J. Wills,584
S. Wang,585
O.G. Staadt,586
R. van Liere,587
A. Gregory,588
S. Ehmann,589
Ming Lin,590
L. Wang,591
Y. Zhao,592
Basak Alper,593
Nathalie Riche,594
Gonzalo Ramos,595
Mary Czerwinski,596
Hans-Jörg Schulz,597
Thomas Nocke,598
Magnus Heitzler,599
D.F. Wiley,600
N. Amenta,601
D.A. Alcantara,602
D. Ghosh,603
Y.J. Kil,604
E. Delson,605
W. Harcourt-Smith,606
F.J. Rohlf,607
K. St John,608
Ryan Eccles,609
Thomas Kapler,610
Robert Harper,611
William Wright,612
Ozan Ersoy,613
Christophe Hurter,614
Fernando Paulovich,615
Gabriel Cantareiro,616
Alex Telea,617
Susan Dumais,618
Charles D. Stolper,619
S.W. Wang,620
A.E. Kaufman,621
Yong Zhou,622
Baoquan Chen,623
S. Pizer,624
A.J. Hanson,625
E.A. Wernert,626
Jurgen Bernard,627
Tatiana Tekusova,628
Jorn Kohlhammer,629
P. Rander,630
P.J. Narayanan,631
T. Kanade,632
John A. Lee,633
Jaakko Peltonen,634
Stephen C. North,635
Benjamin Tissoires,636
Stéphane Conversy,637
L. De Floriani,638
P. Magillo,639
E. Puppo,640
Nan Cao,641
Jimeng Sun,642
Yu-Ru Lin,643
Yuzuru Tanahashi,644
Xiaohua Sun,645
David Lazer,646
F.J. Post,647
T. van Walsum,648
F.H. Post,649
D. Silver,650
A. Sheffer,651
J.C. Hart,652
Jerry Alan Fails,653
Amy Karlson,654
Layla Shahamat,655
S. Premoze,656
Kai Yan,657
Fangzhao Wu,658
G. Abram,659
L. Treinish,660
Stefan Bruckner,661
M. Eduard Groller,662
Hansi Senaratne,663
C. Rocchini,664
P. Riehmann,665
M. Hanfler,666
B. Froehlich,667
Tatiana von Landesberger,668
Felix Brodkorb,669
Philipp Roskosch,670
Andreas Kerren,671
E.H.-H. Chi,672
P. Barry,673
J. Riedl,674
J. Konstan,675
Jinwook Seo,676
Wenwen Dou,677
Xiaoyu Wang,678
Drew Skau,679
William Ribarsky,680
Tim Dwyer,681
S.K. Lodha,682
R.E. Sheehan,683
C.M. Wittenbrink,684
Lijie Xu,685
Teng-Yok Lee,686
Jeremy Boy,687
Ronald A. Rensink,688
Ryan Russell,689
Jane Hoffswell,690
M. Zwicker,691
J. van Baar,692
Taowei David Wang,693
Neil Spring,694
David Roseman,695
Greg Marchand,696
Vikramjit Mukherjee,697
Mark Smith,698
Maarten H. Everts,699
Henk Bekker,700
Jos B.T.M. Roerdink,701
Eric D. Ragan,702
Alex Endert,703
Aidong Lu,704
C.J. Morris,705
D.S. Ebert,706
C. Sigg,707
Christoph Heinzl,708
Harald Piringer,709
Michelle Borkin,710
Krzysztof Gajos,711
Amanda Peters,712
Dimitrios Mitsouras,713
Simone Melchionna,714
Frank Rybicki,715
Charles Feldman,716
Michael Correll,717
Michael Gleicher,718
F.-Y. Tzeng,719
F. Bendix,720
A. Majumder,721
Zhu He,722
Uta Hinrichs,723
Holly Schmidt,724
L. Zhukov,725
A.H. Barr,726
David Selassie,727
Brandon Heller,728
Florian Heimerl,729
Edwin Püttmann,730
Steffen Koch,731
Robert Krüger,732
Michael Wörner,733
X. Tricoche,734
G. Scheuermann,735
H. Hagen,736
A.M. MacEachren,737
F.P. Boscoe,738
D. Haug,739
L.W. Pickle,740
Paulo E. Rauber,741
Samuel G. Fadel,742
Alexandre X. Falcão,743
Alexandru C. Telea,744
Ross T. Whitaker,745
Mahsa Mirzargar,746
Robert M. Kirby,747
D.L. Kao,748
T. Gerstner,749
R. Pajarola,750
R.S. Laramee,751
B. Jobard,752
S. Gumhold,753
O. Devillers,754
P.-M. Gandoin,755
Minh Xuan Nguyen,756
S. premoze,757
M. Ikits,758
A. Lefohn,759
E. Praun,760
Lujin Wang,761
Joachim Giesen,762
Kevin T. McDonnell,763
Peter Zolliker,764
Klaus Mueller,765
Natalia Konevtsova,766
Julian Heinrich,767
Markus Hoeferlin,768
Paulo Joia,769
Danilo Coimbra,770
Jose A. Cuminato,771
Fernando V. Paulovich,772
Luis G. Nonato,773
Luana Micallef,774
L. De Fioriani,775
G. Barequet,776
S. Kumar,777
Claes Lundström,778
Patric Ljung,779
Anders Persson,780
Anders Ynnerman,781
H.K. Hahn,782
B. Preim,783
D. Selle,784
H.-O. Peitgen,785
Charles Perin,786
Chao Han,787
Dipayan Maiti,788
Leanna House,789
Scotland Leman,790
Chris North,791
M. Hopf,792
A. Mebarki,793
P. Alliez,794
M. Williams,795
T. Munzner,796
Greg Smith,797
Brian Meyers,798
Daniel Robbins,799
Desney S. Tan,800
Gargi Bhattacharya,801
Phil Amburn,802
S.F. Roth,803
P. Lucas,804
J.A. Senn,805
C.C. Gomberg,806
M.B. Burks,807
P.J. Stroffolino,808
A.J. Kolojechick,809
C. Dunmire,810
T. Skog,811
S. Ljungblad,812
L.E. Holmquist,813
Shiaofen Fang,814
T. Biddlecome,815
M. Tuceryan,816
M.C. Velez,817
M. Tremaine,818
Huy Vo,819
David Koop,820
Claudio Silva,821
Rubaiat Habib Kazi,822
Josua Krause,823
C. Rezk-Salama,824
P. Hastreiter,825
C. Teitzel,826
T.J. Jankun-Kelly,827
Steven Drucker,828
Eytan Adar,829
Jian Zhao,830
Zhen Wen,831
Yale Song,832
J. Cohen,833
M. Olano,834
D. Costanza,835
Christof Rezk Salama,836
Maik Keller,837
Peter Kohlmann,838
N. Litke,839
A. Levin,840
Li Yu,841
Zhiqiang Ma,842
Roeland Scheepens,843
Niels Willems,844
Jarke J. van Wijk,845
Daniela Oelke,846
J. Dollner,847
K. Baumann,848
K. Hinrichs,849
A. Gyulassy,850
Vijay Natarajan,851
P. Saraiya,852
C. North,853
K. Duca,854
Thomas Schultz,855
Hans-Peter Seidel,856
Gustavo M. Machado,857
Manuel M. Oliveira,858
Leandro A. F. Fernandes,859
Min Chen,860
Heike Jaenicke,861
Jaeyeon Kihm,862
J. Wood,863
K. Brodlie,864
H. Wright,865
W.A.A. Nuij,866
Roel Vliegen,867
Erik-Jan van der Linden,868
B. Heckel,869
G. Weber,870
A.E. Lefohn,871
J.M. Kniss,872
R.T. Whitaker,873
Shengdong Zhao,874
M.H. Chignell,875
Matthew Tobiasz,876
Ming Wan,877
F. Dachille,878
M.-A.D. Storey,879
K. Wong,880
F.D. Fracchia,881
H.A. Muller,882
Gordon Kindlmann,883
Carl-fredrik Westin,884
Jarry H.T. Claessen,885
Patrick Fiaux,886
Remco Chang,887
Mohammad Ghoniem,888
Robert Kosara,889
Evan Suma,890
Caroline Ziemkiewicz,891
Daniel Kern,892
Agus Sudjianto,893
A. Poon,894
L. Brankin,895
G. Banecki,896
A. Gay,897
D. Archambault,898
Yaniv Frishman,899
Ayellet Tal,900
Harry Stavropoulos,901
Stefan Wrobel,902
C.R. Volpe,903
T. Azuma,904
Panpan Xu,905
Tai-Quan Peng,906
Jonathan J.H. Zhu,907
Eli T. Brown,908
Jingjing Liu,909
Carla E. Brodley,910
D. Turo,911
R. Grosso,912
C. Lurig,913
A. Sherbondy,914
M. Houston,915
S. Napel,916
Sara Johansson,917
Jimmy Johansson,918
R. Avila,919
C. Silva,920
L. Sobierajski,921
Carlos D. Correa,922
Yu-Hsuan Chan,923
Ming Hao,924
Christian Rohrdantz,925
Umeshwar Dayal,926
Lars-Erik Haug,927
Halldor Janetzko,928
C. Jaynes,929
S. Webb,930
R.M. Steele,931
M. Brown,932
W.B. Seales,933
Johanna Beyer,934
Markus Hadwiger,935
Stefan Wolfsberger,936
Katja Bühler,937
K. Brodie,938
Y. Frishman,939
Maxime Cordeil,940
Karsten Klein,941
Bireswar Laha,942
Kim Marriott,943
Bruce H. Thomas,944
Benjamin Bach,945
Ronell Sicat,946
E. Keeve,947
S. Girod,948
P. Pfeifle,949
B. Girod,950
N.E. Miller,951
P.C. Wong,952
M. Brewster,953
H. Foote,954
Xiaoming Wei,955
K. Stockinger,956
J. Shalf,957
K. Wu,958
E.W. Bethel,959
J. Abello,960
Natascha Sauber,961
Holger Theisel,962
Hans-peter Seidel,963
Kyle Koh,964
Bohyoung Kim,965
R. Crawlis,966
A. Cedilnik,967
A.V. Vilanova Bartroli,968
A. Konig,969
Giovane R. Kuhn,970
J. Clyne,971
Nicolas Heulot,972
Tara Madhyastha,973
Tom Grabowski,974
K.R. Subramanian,975
D.S. Fussell,976
T. Theussl,977
J. Woodring,978
Anish Chandak,979
Christian Lauterbach,980
Micah Taylor,981
Zhimin Ren,982
Dinesh Manocha,983
R. Machiraju,984
Sven Bachthaler,985
Eduard Gröller,986
Priti Shah,987
Philippas Tsigas,988
Zhuofeng Wu,989
Hao Wei,990
M. Sheelagh T. Carpendale,991
D.J. Cowperthwaite,992
Insoo Woo,993
Wei Chen,994
David Ebert,995
Aritra Dasgupta,996
Thomas Mühlbacher,997
B. Lucas,998
G.D. Abram,999
N.S. Collins,1000
D.A. Epstein,1001
D.L. Gresh,1002
K.P. McAuliffe,1003
P. Hinker,1004
S. Linthicum,1005
R.L. Winslow,1006
D.F. Scollan,1007
C.K. Yung,1008
Deborah Silver,1009
R. Crawfis,1010
Torsten Moller,1011
G. Zhuang,1012
Thomas Torsney-Weir,1013
Ahmed Saad,1014
Hans-Christian Hege,1015
Britta Weber,1016
Jean-Marc Verbavatz,1017
Steven Bergner,1018
A. Fuhrmann,1019
J.D. Cohen,1020
D.G. Aliaga,1021
Weiqiang Zhang,1022
M. Antonijuan,1023
R. Lario,1024
Ken Been,1025
Eli Daiches,1026
Chee Yap,1027
Donghao Ren,1028
Saleema Amershi,1029
Jina Suh,1030
Jason D. Williams,1031
Mustafa Bilgic,1032
Louis Licamele,1033
Lise Getoor,1034
Georgia Albuquerque,1035
Martin Eisemann,1036
Jorn Schneidewind,1037
Marcus Magnork,1038
S. Hadap,1039
E. Bongarter,1040
P. Volino,1041
N. Magnenat-Thalmann,1042
Aaron Barsky,1043
Jennifer Gardy,1044
Robert Kincaid,1045
Samuel Gerber,1046
Ross Whitaker,1047
Davide Ceneda,1048
Theresia Gschwandtner,1049
Thorsten May,1050
Silvia Miksch,1051
M. Jin,1052
Y. Wang,1053
S.-T. Yau,1054
X. Gu,1055
Thorsten Buering,1056
Jens Gerken,1057
Harald Reiterer,1058
Sean M. Arietta,1059
Alexei A. Efros,1060
Ravi Ramamoorthi,1061
Bongwon Suh,1062
Ed H. Chi,1063
Bryan A. Pendleton,1064
Aniket Kittur,1065
Stephen Ingram,1066
Veronika Irvine,1067
He Liu,1068
Yuan Gao,1069
Lu Lu,1070
Siyuan Liu,1071
Lionel M. Ni,1072
Wing-Yi Chan,1073
Anbang Xu,1074
Kai-Lun Chung,1075
Kai-Hon Lau,1076
Ping Guo,1077
Mark Duchaineau,1078
Eduardo Bringa,1079
Andrew Higginbotham,1080
Johnny Rodgers,1081
Lyn Bartram,1082
B. Becker,1083
R. Van Uitert,1084
A. Stephens,1085
G.-S. Li,1086
Gunther Weber,1087
Michael Zinsmaier,1088
Ulrik Brandes,1089
Oliver Deussen,1090
Meredith Ringel Morris,1091
Kori Inkpen,1092
A. Gueziec,1093
G. Taubin,1094
F. Lazarus,1095
W. Horn,1096
T.C. Sprenger,1097
R. Brunella,1098
E. Hoffman,1099
K. Claffy,1100
B. Fenner,1101
R. Heilmann,1102
C. Panse,1103
M. Sips,1104
Yuntao Jia,1105
Jared Hoberock,1106
Michael Garland,1107
John Hart,1108
D. Koop,1109
Tangzhi Ye,1110
Jacky Yuan,1111
Qianliang Wu,1112
K. Cole-McLaughlin,1113
E. Fanea,1114
T. Isenberg,1115
Heike Janicke,1116
Alexander Wiebel,1117
Gerik Scheuermann,1118
Wolfgang Kollmann,1119
Kori Inkpen Quinn,1120
Nadia Boukhelifa,1121
Anastasia Bezerianos,1122
Wei Zeng,1123
Chi-Wing Fu,1124
Stefan Müller Arisona,1125
Alexander Erath,1126
Fabian Maaß,1127
Ines Färber,1128
Thomas Seidl,1129
Yao Ming,1130
Shaozu Cao,1131
Ruixiang Zhang,1132
Yuanzhe Chen,1133
X. Wang,1134
Jonathan Woodring,1135
Han-wei Shen,1136
Youngmin Kim,1137
Amitabh Varshney,1138
Michael Ogawa,1139
Dongyu Liu,1140
Di Weng,1141
Yuhong Li,1142
Jie Bao,1143
Yu Zheng,1144
Y. Levanoni,1145
Nicholas Kong,1146
Cagatay Turkay,1147
Peter Filzmoser,1148
A.A. Lastra,1149
B. Gregorski,1150
A. Roman,1151
G. Garg,1152
M. Levoy,1153
Christian Partl,1154
Karl Kashofer,1155
Dieter Schmalstieg,1156
M. Teichmann,1157
M. Capps,1158
B. Frohlich,1159
S. Barrass,1160
B. Zehner,1161
J. Plate,1162
M. Gobel,1163
G.S. Davidson,1164
B.N. Wylie,1165
K.W. Boyack,1166
A. MacEachren,1167
D. Xiping,1168
F. Hardisty,1169
Diansheng Guo,1170
G. Lengerich,1171
Qingguang Cui,1172
Matthew Ward,1173
Elke Rundensteiner,1174
Danny Dorling,1175
Anna Barford,1176
Mark Newman,1177
Stephane Marchesin,1178
Cheng-Kai Chen,1179
Chris Ho,1180
Eli T Brown,1181
Alvitta Ottley,1182
Helen Zhao,1183
Quan Lin,1184
Richard Souvenir,1185
Siming Chen,1186
Zhenhuang Wang,1187
Cong Guo,1188
Jie Liang,1189
Xiaolong Luke Zhang,1190
Jiawan Zhang,1191
Hyunmo Kang,1192
Benjamin B. Bederson,1193
Jurgen Waser,1194
Raphael Fuchs,1195
Hrvoje Ribicic,1196
Benjamin Schindler,1197
Gunther Bloschl,1198
Eduard Groller,1199
Hannah Pileggi,1200
J. Michael Boyle,1201
John T. Stasko,1202
P. Sutton,1203
Chandrajit Bajaj,1204
P. Djeu,1205
Vinay Siddavanahalli,1206
A. Thane,1207
E. Hetzler,1208
K. Perrine,1209
E. Jurrus,1210
N. Miller,1211
C. Olston,1212
J.D. Mackinlay,1213
G.E. Rosario,1214
D.C. Brown,1215
Wolfram von Funck,1216
Tino Weinkauf,1217
Chenglong Wang,1218
Greg L. Nelson,1219
Halden Lin,1220
Adam M. Smith,1221
T. Delmarcelle,1222
L. Hesselink,1223
D.H. House,1224
C.J. Kocmoud,1225
P. Bhaniramka,1226
R. Wenger,1227
D. Weiskopf,1228
K. Engel,1229
Haleh Hagh-Shenas,1230
Sunghee Kim,1231
Victoria Interrante,1232
Christopher Healey,1233
Markus Steinberger,1234
Manuela Waldner,1235
Hanqi Guo,1236
Ningyu Mao,1237
Guodao Sun,1238
Jonathan J. H. Zhu,1239
Ronghua Liang,1240
Xiaoke Huang,1241
Ye Zhao,1242
Chao Ma,1243
Xinyue Ye,1244
Chong Zhang,1245
J. Klingner,1246
John Schreiner,1247
Roland Fraedrich,1248
Stefan Auer,1249
Kevin Buchin,1250
Bettina Speckmann,1251
Kevin Verbeek,1252
Stef van den Elzen,1253
I Wald,1254
GP Johnson,1255
J Amstutz,1256
C Brownlee,1257
A Knoll,1258
J Jeffers,1259
J Günther,1260
P Navratil,1261
Fidelia Ibekwe-SanJuan,1262
Eric SanJuan,1263
Chris Weaver,1264
Jurgen Lerner,1265
Yuqun Chen,1266
D.W. Clark,1267
A. Finkelstein,1268
T.C. Housel,1269
Michael Krone,1270
Katrin Bidmon,1271
K.A. Kreeger,1272
S.M.F. Treavett,1273
M. Chen,1274
M. Bertram,1275
M.A. Duchaineau,1276
N. Hoobler,1277
M. Agrawala,1278
Bobo Nick,1279
Danny Holten,1280
Jorik Blaas,1281
Tarik Crnovrsanin,1282
Chris Muelder,1283
I.J. Trotts,1284
T. Funkhouser,1285
D. Yanovsky,1286
I. Carlbom,1287
A. Joshi,1288
M. Kreuseler,1289
N. Lopez,1290
H. Schumann,1291
