author,id
R. Kazman,578
Y.-J. Chiang,579
J. Schneider,580
E. Kleiberg,581
H. van de Wetering,582
J. Johansson,583
P. Ljung,584
M. Jern,585
M. Cooper,586
Filip Sadlo,587
Ronald Peikert,588
Nam Wook Kim,589
Constance May Bainbridge,590
Chelsea S. Yeh,591
Daniel Borkin,592
S.G. Eick,593
G.J. Wills,594
S. Wang,595
O.G. Staadt,596
R. van Liere,597
A. Gregory,598
S. Ehmann,599
Ming Lin,600
L. Wang,601
Y. Zhao,602
Basak Alper,603
Nathalie Riche,604
Gonzalo Ramos,605
Mary Czerwinski,606
Hans-Jörg Schulz,607
Thomas Nocke,608
Magnus Heitzler,609
D.F. Wiley,610
N. Amenta,611
D.A. Alcantara,612
D. Ghosh,613
Y.J. Kil,614
E. Delson,615
W. Harcourt-Smith,616
F.J. Rohlf,617
K. St John,618
Ryan Eccles,619
Thomas Kapler,620
Robert Harper,621
William Wright,622
Ozan Ersoy,623
Christophe Hurter,624
Fernando Paulovich,625
Gabriel Cantareiro,626
Alex Telea,627
Susan Dumais,628
Charles D. Stolper,629
S.W. Wang,630
A.E. Kaufman,631
Yong Zhou,632
Baoquan Chen,633
S. Pizer,634
A.J. Hanson,635
E.A. Wernert,636
Jurgen Bernard,637
Tatiana Tekusova,638
Jorn Kohlhammer,639
P. Rander,640
P.J. Narayanan,641
T. Kanade,642
John A. Lee,643
Jaakko Peltonen,644
Stephen C. North,645
F. Gyorgy,646
Benjamin Tissoires,647
Stéphane Conversy,648
L. De Floriani,649
P. Magillo,650
E. Puppo,651
Nan Cao,652
Jimeng Sun,653
Yu-Ru Lin,654
Yuzuru Tanahashi,655
Xiaohua Sun,656
David Lazer,657
F.J. Post,658
T. van Walsum,659
F.H. Post,660
D. Silver,661
A. Sheffer,662
J.C. Hart,663
Jerry Alan Fails,664
Amy Karlson,665
Layla Shahamat,666
S. Premoze,667
Kai Yan,668
Fangzhao Wu,669
G. Abram,670
L. Treinish,671
Stefan Bruckner,672
M. Eduard Groller,673
Hansi Senaratne,674
C. Rocchini,675
P. Riehmann,676
M. Hanfler,677
B. Froehlich,678
Tatiana von Landesberger,679
Felix Brodkorb,680
Philipp Roskosch,681
Andreas Kerren,682
E.H.-H. Chi,683
P. Barry,684
J. Riedl,685
J. Konstan,686
Jinwook Seo,687
Wenwen Dou,688
Xiaoyu Wang,689
Drew Skau,690
William Ribarsky,691
Tim Dwyer,692
S.K. Lodha,693
R.E. Sheehan,694
C.M. Wittenbrink,695
Lijie Xu,696
Teng-Yok Lee,697
Jeremy Boy,698
Ronald A. Rensink,699
Ryan Russell,700
Jane Hoffswell,701
M. Zwicker,702
J. van Baar,703
Taowei David Wang,704
Neil Spring,705
David Roseman,706
Greg Marchand,707
Vikramjit Mukherjee,708
Mark Smith,709
Maarten H. Everts,710
Henk Bekker,711
Jos B.T.M. Roerdink,712
Eric D. Ragan,713
Alex Endert,714
Aidong Lu,715
C.J. Morris,716
D.S. Ebert,717
C. Sigg,718
Christoph Heinzl,719
Harald Piringer,720
Michelle Borkin,721
Krzysztof Gajos,722
Amanda Peters,723
Dimitrios Mitsouras,724
Simone Melchionna,725
Frank Rybicki,726
Charles Feldman,727
Michael Correll,728
Michael Gleicher,729
F.-Y. Tzeng,730
F. Bendix,731
A. Majumder,732
Zhu He,733
Uta Hinrichs,734
Holly Schmidt,735
L. Zhukov,736
A.H. Barr,737
David Selassie,738
Brandon Heller,739
Florian Heimerl,740
Edwin Püttmann,741
Steffen Koch,742
Robert Krüger,743
Michael Wörner,744
X. Tricoche,745
G. Scheuermann,746
H. Hagen,747
A.M. MacEachren,748
F.P. Boscoe,749
D. Haug,750
L.W. Pickle,751
Paulo E. Rauber,752
Samuel G. Fadel,753
Alexandre X. Falcão,754
Alexandru C. Telea,755
Ross T. Whitaker,756
Mahsa Mirzargar,757
Robert M. Kirby,758
D.L. Kao,759
T. Gerstner,760
R.S. Laramee,761
B. Jobard,762
S. Gumhold,763
O. Devillers,764
P.-M. Gandoin,765
Minh Xuan Nguyen,766
S. premoze,767
M. Ikits,768
A. Lefohn,769
E. Praun,770
Lujin Wang,771
Joachim Giesen,772
Kevin T. McDonnell,773
Peter Zolliker,774
Klaus Mueller,775
Natalia Konevtsova,776
Julian Heinrich,777
Markus Hoeferlin,778
Paulo Joia,779
Danilo Coimbra,780
Jose A. Cuminato,781
Fernando V. Paulovich,782
Luis G. Nonato,783
Luana Micallef,784
L. De Fioriani,785
G. Barequet,786
S. Kumar,787
Claes Lundström,788
Patric Ljung,789
Anders Persson,790
Anders Ynnerman,791
H.K. Hahn,792
B. Preim,793
D. Selle,794
H.-O. Peitgen,795
Charles Perin,796
Chao Han,797
Dipayan Maiti,798
Leanna House,799
Scotland Leman,800
Chris North,801
M. Hopf,802
A. Mebarki,803
P. Alliez,804
M. Williams,805
Greg Smith,806
Brian Meyers,807
Daniel Robbins,808
Desney S. Tan,809
Gargi Bhattacharya,810
Phil Amburn,811
S.F. Roth,812
P. Lucas,813
J.A. Senn,814
C.C. Gomberg,815
M.B. Burks,816
P.J. Stroffolino,817
A.J. Kolojechick,818
C. Dunmire,819
T. Skog,820
S. Ljungblad,821
L.E. Holmquist,822
Shiaofen Fang,823
T. Biddlecome,824
M. Tuceryan,825
M.C. Velez,826
M. Tremaine,827
Huy Vo,828
David Koop,829
Claudio Silva,830
Rubaiat Habib Kazi,831
Josua Krause,832
C. Rezk-Salama,833
P. Hastreiter,834
C. Teitzel,835
T.J. Jankun-Kelly,836
Diansheng Guo,837
Steven Drucker,838
Eytan Adar,839
Jian Zhao,840
Zhen Wen,841
Yale Song,842
J. Cohen,843
M. Olano,844
D. Costanza,845
Christof Rezk Salama,846
Maik Keller,847
Peter Kohlmann,848
N. Litke,849
A. Levin,850
Li Yu,851
Zhiqiang Ma,852
A. Kobsa,853
Roeland Scheepens,854
Niels Willems,855
Jarke J. van Wijk,856
Daniela Oelke,857
J. Dollner,858
K. Baumann,859
K. Hinrichs,860
A. Gyulassy,861
Vijay Natarajan,862
P. Saraiya,863
C. North,864
K. Duca,865
Thomas Schultz,866
Hans-Peter Seidel,867
Gustavo M. Machado,868
Manuel M. Oliveira,869
Leandro A. F. Fernandes,870
Min Chen,871
Heike Jaenicke,872
Jaeyeon Kihm,873
J. Wood,874
K. Brodlie,875
H. Wright,876
W.A.A. Nuij,877
Roel Vliegen,878
Erik-Jan van der Linden,879
B. Heckel,880
G. Weber,881
A.E. Lefohn,882
J.M. Kniss,883
R.T. Whitaker,884
Shengdong Zhao,885
M.H. Chignell,886
Matthew Tobiasz,887
Ming Wan,888
F. Dachille,889
M.-A.D. Storey,890
K. Wong,891
F.D. Fracchia,892
H.A. Muller,893
Gordon Kindlmann,894
Carl-fredrik Westin,895
Jarry H.T. Claessen,896
Patrick Fiaux,897
Remco Chang,898
Mohammad Ghoniem,899
Robert Kosara,900
Evan Suma,901
Caroline Ziemkiewicz,902
Daniel Kern,903
Agus Sudjianto,904
A. Poon,905
L. Brankin,906
G. Banecki,907
A. Gay,908
D. Archambault,909
Yaniv Frishman,910
Ayellet Tal,911
Harry Stavropoulos,912
Stefan Wrobel,913
C.R. Volpe,914
A. Spoerri,915
T. Azuma,916
Panpan Xu,917
Tai-Quan Peng,918
Jonathan J.H. Zhu,919
Eli T. Brown,920
Jingjing Liu,921
Carla E. Brodley,922
D. Turo,923
R. Grosso,924
C. Lurig,925
A. Sherbondy,926
M. Houston,927
S. Napel,928
Sara Johansson,929
Jimmy Johansson,930
R. Avila,931
C. Silva,932
L. Sobierajski,933
J. Levenberg,934
B. Kerr,935
Carlos D. Correa,936
Yu-Hsuan Chan,937
Ming Hao,938
Christian Rohrdantz,939
Umeshwar Dayal,940
Lars-Erik Haug,941
Halldor Janetzko,942
C. Jaynes,943
S. Webb,944
R.M. Steele,945
M. Brown,946
W.B. Seales,947
Johanna Beyer,948
Markus Hadwiger,949
Stefan Wolfsberger,950
Katja Bühler,951
Heidi Lam,952
K. Brodie,953
Y. Frishman,954
Maxime Cordeil,955
Karsten Klein,956
Bireswar Laha,957
Kim Marriott,958
Bruce H. Thomas,959
Benjamin Bach,960
Ronell Sicat,961
E. Keeve,962
S. Girod,963
P. Pfeifle,964
B. Girod,965
N.E. Miller,966
P.C. Wong,967
M. Brewster,968
H. Foote,969
Xiaoming Wei,970
K. Stockinger,971
J. Shalf,972
K. Wu,973
E.W. Bethel,974
J. Abello,975
Natascha Sauber,976
Holger Theisel,977
Hans-peter Seidel,978
Kyle Koh,979
Bohyoung Kim,980
R. Crawlis,981
A. Cedilnik,982
A.V. Vilanova Bartroli,983
A. Konig,984
Giovane R. Kuhn,985
J. Clyne,986
Nicolas Heulot,987
Tara Madhyastha,988
Tom Grabowski,989
K.R. Subramanian,990
D.S. Fussell,991
T. Theussl,992
J. Woodring,993
Anish Chandak,994
Christian Lauterbach,995
Micah Taylor,996
Zhimin Ren,997
Dinesh Manocha,998
R. Machiraju,999
K. Andrews,1000
Sven Bachthaler,1001
Eduard Gröller,1002
Priti Shah,1003
Philippas Tsigas,1004
Zhuofeng Wu,1005
Hao Wei,1006
M. Sheelagh T. Carpendale,1007
D.J. Cowperthwaite,1008
Insoo Woo,1009
Wei Chen,1010
David Ebert,1011
Aritra Dasgupta,1012
Thomas Mühlbacher,1013
B. Lucas,1014
G.D. Abram,1015
N.S. Collins,1016
D.A. Epstein,1017
D.L. Gresh,1018
K.P. McAuliffe,1019
P. Hinker,1020
S. Linthicum,1021
R.L. Winslow,1022
D.F. Scollan,1023
C.K. Yung,1024
Deborah Silver,1025
R. Crawfis,1026
Torsten Moller,1027
G. Zhuang,1028
Thomas Torsney-Weir,1029
Ahmed Saad,1030
Hans-Christian Hege,1031
Britta Weber,1032
Jean-Marc Verbavatz,1033
Steven Bergner,1034
A. Fuhrmann,1035
J.D. Cohen,1036
D.G. Aliaga,1037
Weiqiang Zhang,1038
M. Antonijuan,1039
R. Lario,1040
Ken Been,1041
Eli Daiches,1042
Chee Yap,1043
Donghao Ren,1044
Saleema Amershi,1045
Jina Suh,1046
Jason D. Williams,1047
Mustafa Bilgic,1048
Louis Licamele,1049
Lise Getoor,1050
Georgia Albuquerque,1051
Martin Eisemann,1052
Jorn Schneidewind,1053
Marcus Magnork,1054
S. Hadap,1055
E. Bongarter,1056
P. Volino,1057
N. Magnenat-Thalmann,1058
Aaron Barsky,1059
Jennifer Gardy,1060
Robert Kincaid,1061
Samuel Gerber,1062
Ross Whitaker,1063
Davide Ceneda,1064
Theresia Gschwandtner,1065
Thorsten May,1066
Silvia Miksch,1067
M. Jin,1068
Y. Wang,1069
S.-T. Yau,1070
X. Gu,1071
A. Skupin,1072
Thorsten Buering,1073
Jens Gerken,1074
Harald Reiterer,1075
Sean M. Arietta,1076
Alexei A. Efros,1077
Ravi Ramamoorthi,1078
Bongwon Suh,1079
Ed H. Chi,1080
Bryan A. Pendleton,1081
Aniket Kittur,1082
Stephen Ingram,1083
Veronika Irvine,1084
He Liu,1085
Yuan Gao,1086
Lu Lu,1087
Siyuan Liu,1088
Lionel M. Ni,1089
Wing-Yi Chan,1090
Anbang Xu,1091
Kai-Lun Chung,1092
Kai-Hon Lau,1093
Ping Guo,1094
Mark Duchaineau,1095
Eduardo Bringa,1096
Andrew Higginbotham,1097
Johnny Rodgers,1098
Lyn Bartram,1099
B. Becker,1100
R. Van Uitert,1101
A. Stephens,1102
G.-S. Li,1103
Gunther Weber,1104
Michael Zinsmaier,1105
Ulrik Brandes,1106
Oliver Deussen,1107
Meredith Ringel Morris,1108
Kori Inkpen,1109
A. Gueziec,1110
G. Taubin,1111
F. Lazarus,1112
W. Horn,1113
T.C. Sprenger,1114
R. Brunella,1115
E. Hoffman,1116
K. Claffy,1117
B. Fenner,1118
R. Heilmann,1119
C. Panse,1120
M. Sips,1121
Yuntao Jia,1122
Jared Hoberock,1123
Michael Garland,1124
John Hart,1125
D. Koop,1126
Tangzhi Ye,1127
Jacky Yuan,1128
Qianliang Wu,1129
K. Cole-McLaughlin,1130
E. Fanea,1131
T. Isenberg,1132
Heike Janicke,1133
Alexander Wiebel,1134
Gerik Scheuermann,1135
Wolfgang Kollmann,1136
Kori Inkpen Quinn,1137
Nadia Boukhelifa,1138
Anastasia Bezerianos,1139
Wei Zeng,1140
Chi-Wing Fu,1141
Stefan Müller Arisona,1142
Alexander Erath,1143
Fabian Maaß,1144
Ines Färber,1145
Thomas Seidl,1146
Yao Ming,1147
Shaozu Cao,1148
Ruixiang Zhang,1149
Yuanzhe Chen,1150
X. Wang,1151
Jonathan Woodring,1152
Han-wei Shen,1153
Youngmin Kim,1154
Amitabh Varshney,1155
Michael Ogawa,1156
Dongyu Liu,1157
Di Weng,1158
Yuhong Li,1159
Jie Bao,1160
Yu Zheng,1161
L.K. Forssell,1162
Y. Levanoni,1163
D. Rafiei,1164
Nicholas Kong,1165
Cagatay Turkay,1166
Peter Filzmoser,1167
A.A. Lastra,1168
B. Gregorski,1169
A. Roman,1170
G. Garg,1171
M. Levoy,1172
Christian Partl,1173
Karl Kashofer,1174
Dieter Schmalstieg,1175
M. Teichmann,1176
M. Capps,1177
B. Frohlich,1178
S. Barrass,1179
B. Zehner,1180
J. Plate,1181
M. Gobel,1182
G.S. Davidson,1183
B.N. Wylie,1184
K.W. Boyack,1185
A. MacEachren,1186
D. Xiping,1187
F. Hardisty,1188
G. Lengerich,1189
Qingguang Cui,1190
Matthew Ward,1191
Elke Rundensteiner,1192
Danny Dorling,1193
Anna Barford,1194
Mark Newman,1195
Stephane Marchesin,1196
Cheng-Kai Chen,1197
Chris Ho,1198
Eli T Brown,1199
Alvitta Ottley,1200
Helen Zhao,1201
Quan Lin,1202
Richard Souvenir,1203
Siming Chen,1204
Zhenhuang Wang,1205
Cong Guo,1206
Jie Liang,1207
Xiaolong Luke Zhang,1208
Jiawan Zhang,1209
Hyunmo Kang,1210
Benjamin B. Bederson,1211
Jurgen Waser,1212
Raphael Fuchs,1213
Hrvoje Ribicic,1214
Benjamin Schindler,1215
Gunther Bloschl,1216
Eduard Groller,1217
Hannah Pileggi,1218
J. Michael Boyle,1219
John T. Stasko,1220
P. Sutton,1221
Chandrajit Bajaj,1222
P. Djeu,1223
Vinay Siddavanahalli,1224
A. Thane,1225
E. Hetzler,1226
K. Perrine,1227
E. Jurrus,1228
N. Miller,1229
C. Olston,1230
J.D. Mackinlay,1231
G.E. Rosario,1232
D.C. Brown,1233
Wolfram von Funck,1234
Tino Weinkauf,1235
Chenglong Wang,1236
Greg L. Nelson,1237
Halden Lin,1238
Adam M. Smith,1239
T. Delmarcelle,1240
L. Hesselink,1241
D.H. House,1242
C.J. Kocmoud,1243
P. Bhaniramka,1244
R. Wenger,1245
D. Weiskopf,1246
K. Engel,1247
Haleh Hagh-Shenas,1248
Sunghee Kim,1249
Victoria Interrante,1250
Christopher Healey,1251
Markus Steinberger,1252
Manuela Waldner,1253
Hanqi Guo,1254
Ningyu Mao,1255
Guodao Sun,1256
Jonathan J. H. Zhu,1257
Ronghua Liang,1258
Xiaoke Huang,1259
Ye Zhao,1260
Chao Ma,1261
Xinyue Ye,1262
Chong Zhang,1263
J. Klingner,1264
John Schreiner,1265
Roland Fraedrich,1266
Stefan Auer,1267
Kevin Buchin,1268
Bettina Speckmann,1269
Kevin Verbeek,1270
Stef van den Elzen,1271
I Wald,1272
GP Johnson,1273
J Amstutz,1274
C Brownlee,1275
A Knoll,1276
J Jeffers,1277
J Günther,1278
P Navratil,1279
Fidelia Ibekwe-SanJuan,1280
Eric SanJuan,1281
Chris Weaver,1282
Jurgen Lerner,1283
X. Lin,1284
Yuqun Chen,1285
D.W. Clark,1286
A. Finkelstein,1287
T.C. Housel,1288
Michael Krone,1289
Katrin Bidmon,1290
K.A. Kreeger,1291
